pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,glat,glon,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_gaiamag,sy_tmag,sy_kepmag,k2_campaigns_num,default_flag,pl_density_ratio,pl_radius_comparison,pl_orbper_log,pl_insol_log,st_teff_mass_ratio,st_density_approx,sy_pm_log,sy_dist_log,color_bv,color_jh,disposition_binary,disposition_multiclass
0.00027760064133757205,0.014157363341191125,0.0023070292006177147,0.00282442594734693,0.0023218624785478655,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.0077855420924559,0.2950527580485652,0.49387962579625183,0.506988710969279,0.24705882352941172,0.0009458542698274359,0.0520410447761194,0.23141080442116707,0.026056861963597716,0.35756993380311763,0.010273231109513083,0.05610348068856186,0.7049941927990708,0.5229295790596741,0.759829489111257,0.3870246085011185,0.020619300845495132,0.06256256256256257,0.02257419420180392,0.32913918099060235,0.699902180041941,0.01904623220407125,0.13876601619586995,0.6918284643064793,0.9750048090260075,0.4521635569670504,0.3840066638900459,0.44866529774127306,0.4979052000328596,0.502399739689254,0.11485069159627553,0.1913916748260076,0.19815873911075355,0.23274739849845674,0.2958038722545871,0.4789954688579986,0.49494280827011744,0.3968218286973438,0.352415672370833,0.39754566210045666,0.0,0.0,0.0021893571722769317,0.2822440582293931,0.37427616993779733,0.5669812966610085,0.10815250954451633,0.001575258237562464,0.5270084831396717,0.3589140207054867,0.5400277970813063,0.33638660770688544,1.0,2.0
0.0003557724262791889,0.014157363341191125,0.020742620185966277,0.00282442594734693,0.020689766612238,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.0077855420924559,0.2950527580485652,0.4908939575930975,0.4978557171130576,0.5764705882352941,0.0009458542698274359,0.0520410447761194,0.145232119899566,0.30915371329879104,0.09395686525731367,0.009132018850924649,0.05610348068856186,0.6875725900116144,0.5229295790596741,0.747752707697459,0.3870246085011185,0.020619300845495132,0.06256256256256257,0.05188279863103781,0.3002211113530308,0.7029389068746398,0.023966818034290217,0.11765753092212408,0.9401510321872,0.7163826818067867,0.7555908429270872,0.6941552131056505,0.6880561259411362,0.7036884909225334,0.7047913446676971,0.33003763235505906,0.29182566355288575,0.3018152882421541,0.3426449758885223,0.3595577721609643,0.6632363105752247,0.6699390153205413,0.6442596154113002,0.5699373236885723,0.6556078767123289,0.0,1.0,4.491358819727967e-06,0.23245617059343826,0.3931248189097276,0.5669812966610085,0.06067298663347135,0.0021476544211018467,0.6301838828064663,0.3932407566046863,0.5482279360667127,0.428932406822489,0.0,1.0
5.283692331306154e-05,0.012009073522216786,0.004912589329910811,0.009553283718899302,0.004910098170764959,0.009553283782450954,0.02215387011368946,0.17819460726846423,0.14024598667919183,0.6489526035749605,0.4908939575930975,0.5179959201814418,0.24705882352941172,0.0009458542698274359,0.0520410447761194,0.145232119899566,0.014082635844293874,0.255391842835789,0.03316448445006998,0.07798930961433241,0.943089430894309,0.5229295790596741,0.4539659235791832,0.5444376652430343,0.020619300845495132,0.0,0.05494659874139017,0.3071345557471298,0.6764527594224569,0.03289277823309331,0.09434488784488754,0.10665211732359803,0.15405158214729242,0.41782453354505755,0.34645286686103016,0.36079739904175223,0.4050768093321284,0.41234849101114457,0.059541774418764876,0.02060387943581468,0.040222211693627774,0.0,0.06715996455885559,0.3914445895092543,0.41767068273092356,0.332117791043285,0.2847998968200828,0.3301227168949772,0.0,0.0,0.0009483744863213166,0.24498173779396454,0.24980141010573256,0.8247611654374967,0.06502496346528774,8.152907493101744e-05,0.6373245816161505,0.4417457273382449,0.5415566365531618,0.36891977258370207,1.0,2.0
2.8299474783320265e-05,0.014157363341191125,0.002029096874972212,0.00282442594734693,0.002012332992042039,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.0077855420924559,0.2950527580485652,0.4908939575930975,0.5475795385765135,0.2547058823529411,0.0017895238154964441,0.09147313432835821,0.145232119899566,0.05650059784774811,0.10943839419175738,0.004724488221282179,0.030395698592853446,0.6875725900116144,0.3288999923918986,0.822145166067818,0.3870246085011185,0.06214054836651631,0.06256256256256257,0.054032686896636394,0.324679954924472,0.6589127032900198,0.012793131648885181,0.18518839136466997,0.8546351584193017,0.8769139812189723,0.7426227338891094,0.6709704289879219,0.608145106091718,0.6342725704427832,0.6278369803953469,0.11485069159627553,0.1913916748260076,0.19815873911075355,0.23274739849845674,0.2958038722545871,0.5920436218416405,0.5962367990480438,0.6048099951988855,0.5194175822969606,0.6126569634703197,0.0,0.0,0.003039278688158449,0.2041126787549708,0.2045399632009311,0.5669812966610085,0.11211380732234935,0.006435680474538304,0.6352368329106338,0.301715762714781,0.5578179291174425,0.4008212255211623,0.0,1.0
8.36332421688574e-05,0.014157363341191125,0.002013350208819319,0.00282442594734693,0.00201054206950227,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.0077855420924559,0.2950527580485652,0.4908939575930975,0.5377323950956044,0.24705882352941172,0.0013070053346328405,0.05238805970149253,0.14665608255606272,0.044107878304769504,0.29510997224001706,0.005527149011052848,0.05610348068856186,0.6875725900116144,0.5229295790596741,0.747752707697459,0.3870246085011185,0.020619300845495132,0.06256256256256257,0.050864015485632505,0.29892210054314244,0.7347716879644707,0.034374296937848464,0.09155603161412712,0.7371594972365598,0.5579267498509425,0.6921397379912663,0.6462585034013607,0.7004620123203285,0.7215969769161257,0.7201659481005451,0.2673399998747675,0.2519622112254889,0.2773496255086786,0.33031496385325154,0.35996773818398425,0.6842792412257123,0.6950022311468094,0.6247082559743349,0.566781554943306,0.6295662100456623,0.5,0.0,0.003099754191037015,0.24031008597437964,0.28384035774026156,0.5669812966610085,0.09690280484505852,0.007601446110914743,0.6277163017431032,0.4485903836135633,0.5295343988881165,0.40587492103600753,1.0,2.0
2.6166498823895702e-05,0.014157363341191125,0.0011241267084206507,0.00282442594734693,0.0011284675772064165,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.0077855420924559,0.2950527580485652,0.4908939575930975,0.5175142987545026,0.24705882352941172,0.0009458542698274359,0.03636268656716418,0.145232119899566,0.012036667995217215,0.3161434977578475,0.009367631258759408,0.05610348068856186,0.6875725900116144,0.5229295790596741,0.748238869785831,0.3870246085011185,0.020619300845495132,0.06256256256256257,0.0368471024089594,0.3594656402078417,0.69664561172319,0.01345558906443441,0.17854018520200385,0.06187346922995873,0.14012257784276888,0.40591504565303693,0.3711647924475914,0.4158966461327859,0.46405980448533635,0.47278939233710243,0.11485069159627553,0.1913916748260076,0.19815873911075355,0.23274739849845674,0.2958038722545871,0.4497351201904616,0.469656403391343,0.35513816386509145,0.31558236282010477,0.3540239726027398,0.0,0.0,0.012521066837305627,0.26543209166430826,0.19897551448580986,0.5669812966610085,0.10069116694043148,0.002009140042748555,0.5876543986742992,0.3087906563652315,0.5043085476025017,0.34554643082754294,1.0,2.0
0.00029187511953696163,0.02670906907441178,0.0007165659374045938,0.00282442594734693,0.0007162020443951343,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.00016953199178327237,0.2950527580485652,0.4908939575930975,0.49598669803154627,0.24705882352941172,0.0009458542698274359,0.06305970149253731,0.145232119899566,0.028563836853992296,0.1410420670510356,0.0030178768676126753,0.023415031075071202,0.6875725900116144,0.5229295790596741,0.8808870687323723,0.3870246085011185,0.020619300845495132,0.06256256256256257,0.11879637616200359,0.4064224536151632,0.6272068727390223,0.002562603607568284,0.5077515612341328,0.9253175246306633,0.7372592537015029,0.5087336244541484,0.43926141885325565,0.3898015058179328,0.4224102521974862,0.41600911087610837,0.10582769265448985,0.10137870808965581,0.1011523292897822,0.052480330110282386,0.2486159463396308,0.3932877659165962,0.4109772423025434,0.3933528153125026,0.3240686365981362,0.40097031963470325,0.0,0.0,0.032399652690952976,0.2449817591811125,0.37808291381503095,0.23226942795776567,0.1522945112183502,0.01394860266570375,0.7334847084490791,0.11739711275885067,0.5441278665740096,0.40934933670246343,1.0,2.0
7.769873134390011e-05,0.014157363341191125,0.02731916899099809,0.00282442594734693,0.02733126867187738,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.0077855420924559,0.2950527580485652,0.4908939575930975,0.5589372128585661,0.24705882352941172,0.012706688893996076,0.0458955223880597,0.12085731295892041,0.3503387803905939,0.29510997224001706,0.010557473918324935,0.05610348068856186,0.6875725900116144,0.5229295790596741,0.747752707697459,0.3870246085011185,0.020619300845495132,0.06256256256256257,0.006173863371292068,0.34035681605536167,0.7327899975291592,0.08262383526156844,0.053967515950526304,0.3560367013369578,0.04373274817579831,0.6267037184067751,0.6393863667916148,0.7277549623545516,0.7611928037459952,0.7666151468315302,0.11485069159627553,0.1913916748260076,0.19815873911075355,0.23274739849845674,0.2958038722545871,0.728899470086783,0.7374683920868659,0.6242503462075357,0.5769554789633713,0.6015981735159818,0.0,1.0,1.9914233690063177e-06,0.25083615050557173,0.27835409598099004,0.5669812966610085,0.09690280484505852,0.0014651453910172014,0.36947681131495064,0.5882458649885587,0.4676858929812368,0.3543903979785217,0.0,1.0
4.7518659753402926e-05,0.010585775919583686,0.002029096874972212,0.08684992396148672,0.002012332992042039,0.08684992376804686,0.017676374396511443,0.030480656506447823,0.0077855420924559,0.4875317733406347,0.4908939575930975,0.3627832528660505,0.24705882352941172,0.0009458542698274359,0.0520410447761194,0.145232119899566,0.030815730038527972,0.32628656843903475,0.012194980152776504,0.06634492627562116,0.9024390243902439,0.5229295790596741,0.6922175430462724,0.3870246085011185,0.011097097019299385,0.06256256256256257,0.042491227925988924,0.34830518074345196,0.673874848740188,0.027977028698972558,0.10551647758439789,0.1412210077555226,0.12711535918303557,0.45639804155087993,0.4231570179092046,0.49178644763860363,0.546044524767929,0.5486862442040186,0.11485069159627553,0.1913916748260076,0.19815873911075355,0.23274739849845674,0.2958038722545871,0.5255356731433837,0.5457385095939312,0.414888450405597,0.3751166262362381,0.4143835616438357,0.0,0.0,0.0909625477530705,0.2041126787549708,0.24201389447848184,0.5669812966610085,0.08725948337852638,0.0011606604000197664,0.6053528457660798,0.4167871000226851,0.5052814454482278,0.3104864181933034,1.0,2.0
0.0005248041534903687,0.014157363341191125,0.008830730378542444,0.00282442594734693,0.008859591068505373,0.0028244401142240435,0.05193895031926492,0.09085580304806565,0.0077855420924559,0.2950527580485652,0.4908939575930975,0.8353099767117063,0.28823529411764703,0.0009458542698274359,0.13880597014925372,0.145232119899566,0.07851733758469509,0.29510997224001706,0.014315491823289329,0.07118506151882041,0.6875725900116144,0.5229295790596741,0.747752707697459,0.3870246085011185,0.020619300845495132,0.06256256256256257,0.01613234023257719,0.3410998855458199,0.7058460095919312,0.009946741095267685,0.22173895565501645,0.32929193618200275,0.4809652739341439,0.3490803228794495,0.2967513536026657,0.3270020533880903,0.3719707549494784,0.3780200113885951,0.05899701320576317,0.18589536637645881,0.24526912514420518,0.2909588099000335,0.25376980491473955,0.3626449581445358,0.38472408151123,0.29564458431506413,0.25163688352743596,0.3253424657534247,0.0,0.0,5.4203444792682784e-05,0.2676056589793693,0.4227098252298418,0.5669812966610085,0.07695144957182652,0.0008007742700068066,0.4856680153603513,0.2673596294384568,0.519110493398193,0.37144662034112386,1.0,2.0
